condition1,dataset1,condition2,dataset2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
Bip,BIP2012,TRY,GCST000758,0.0256,0.063,0.406,0.6847,0.1377,0.0287,0.8914,0.0225,-0.0127,0.0081
SCZ,SCZ2014,Obesity,GCST001475,-0.0364,0.0451,-0.8056,0.4205,0.3532,0.0451,0.9374,0.0087,-0.0008,0.007
SCZ,SCZ2014,College,GCST008396,0.0984,0.0419,2.3491,0.0188,0.0711,0.0063,1.0535,0.0107,-0.0064,0.008
BMI,GCST002783,BMI,RA,0.0253,0.0325,0.7776,0.4368,0.2344,0.0822,0.9364,0.0172,-0.005,0.0052
TRY,GCST000758,trigly,T2D-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASD,ASD2013,DEP,MDD2012,0.7399,0.0619,11.9575,5.9313e-33,0.127,0.0276,1.0242,0.0094,0.5737,0.0083
College,GCST002047,college.txt,CAD,-0.2533,0.0717,-3.534,0.0004,0.0621,0.0086,1.0424,0.0093,-0.0054,0.0059
College,GCST002047,college.txt,TRY,-0.2296,0.0455,-5.0482,4.4592e-07,0.143,0.0259,0.8871,0.016,-0.0172,0.0054
ASD,ASD2013,SCZ,SCZ2014,0.9532,0.0324,29.4193,3.1069e-190,0.4652,0.0253,1.1454,0.0195,0.3559,0.0115
College,GCST008396,education,years,-0.2089,0.0675,-3.0958,0.002,0.0624,0.0086,1.0419,0.0093,-0.0156,0.0059
Obesity,GCST001475,obesity,RA,0.0149,0.0628,0.2373,0.8124,0.2361,0.0772,0.9358,0.0151,-0.0026,0.0048
BMI,GCST002783,BMI,T2D-F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEP,MDD2012,College,GCST002047,-0.1805,0.0995,-1.8131,0.0698,0.0629,0.0064,1.0699,0.0112,0.0105,0.0069
Bip,BIP2012,BMI,GCST002783,-0.0882,0.041,-2.1525,0.0314,0.1391,0.0094,0.7128,0.0154,-0.006,0.0074
Bip,BIP2012,College,GCST002047,0.262,0.0736,3.5589,0.0004,0.0631,0.0063,1.0664,0.012,0.0154,0.008
Bip,BIP2012,Obesity,GCST001475,0.0086,0.0718,0.1201,0.9044,0.3359,0.0465,0.9453,0.0103,-0.0065,0.0069
ALZ,GCST002245,BMI,GCST002783,-0.0166,0.0511,-0.3244,0.7457,0.1377,0.008,0.7253,0.0115,0.0027,0.006
TRY,GCST000758,trigly,RA,-0.0309,0.0461,-0.6696,0.5031,0.2326,0.0859,0.9364,0.0177,0.0036,0.0051
ASD,ASD2013,T2D-M,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEP,MDD2012,Obesity,GCST001475,-0.0583,0.1103,-0.5289,0.5969,0.3393,0.0452,0.9461,0.0095,0.0012,0.0057
,,,,,,,,,,,,,
DEP,MDD2012,TRY,GCST000758,0.1834,0.081,2.2627,0.0237,0.1494,0.0297,0.878,0.0212,-0.011,0.0068
College,GCST008396,education,years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDL,GCST000759,LDL,Obesity,-0.1059,0.0598,-1.7698,0.0768,0.3401,0.041,0.9412,0.0075,0.0058,0.005
College,GCST002047,college.txt,College,1.0085,0.0157,64.1192,0.0,0.0718,0.0061,1.0515,0.0097,0.7647,0.009
DEP,MDD2012,BMI,GCST002783,-0.016,0.0588,-0.2729,0.785,0.1379,0.0095,0.7253,0.0155,-0.0012,0.0067
College,GCST008396,education,years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRY,GCST000758,trigly,Obesity,0.0923,0.0527,1.7493,0.0802,0.3417,0.0412,0.9407,0.0075,0.0072,0.0057
College,GCST008396,education,years,-0.2638,0.0326,-8.0864,6.1432e-16,0.138,0.0083,0.7267,0.0119,-0.053,0.0063
HDL,GCST000755,HDL,T2D-F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College,GCST008396,education,years,-0.102,0.0494,-2.0653,0.0389,0.0896,0.0187,0.9724,0.0303,-0.016,0.0055
Bip,BIP2012,SCZ,SCZ2014,0.7839,0.0437,17.9275,7.1952e-72,0.4606,0.0244,1.1412,0.0175,0.1805,0.01
ASD,ASD2013,LDL,GCST000759,-0.0336,0.0519,-0.6476,0.5172,0.0999,0.0179,0.9455,0.0236,-0.0111,0.0073
SCZ,SCZ2014,College,GCST002047,0.0652,0.041,1.5899,0.1119,0.0649,0.0059,1.0581,0.0098,0.0066,0.0082
College,GCST008396,education,years,0.2947,0.0635,4.6446,3.4075e-06,0.0848,0.0239,0.9803,0.0553,0.0196,0.0062
ALZ,GCST002245,T2D-F,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAD,GCST000998,CAD,HDL,-0.3035,0.0723,-4.1988,2.6837e-05,0.0925,0.0221,0.9562,0.0434,-0.0183,0.0067
Bip,BIP2012,T2D-M,GCST005047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEP,MDD2012,SCZ,SCZ2014,0.5364,0.079,6.7901,1.1206e-11,0.474,0.0238,1.1376,0.0186,0.1061,0.0088
ASD,ASD2013,ALZ,GCST002245,-0.0527,0.0752,-0.7015,0.483,0.0673,0.0116,1.0326,0.0127,0.0172,0.0071
TRY,GCST000758,trigly,LDL,0.3619,0.0575,6.2891,3.1940e-10,0.0931,0.0185,0.9644,0.0289,0.2403,0.0081
BMI,GCST002783,BMI,CAD,0.1718,0.0459,3.7402,0.0002,0.0629,0.0087,1.0412,0.0092,0.0043,0.0067
Bip,BIP2012,LDL,GCST000759,-0.0021,0.06,-0.0349,0.9721,0.0986,0.0183,0.9475,0.0232,-0.0114,0.0067
