"SNP_rm_GWAS1_Nmiss","SNP_rm_GWAS2_Nmiss","SNP_RP_GWAS1_TOTAL","SNP_RP_GWAS1_PERC","SNP_RP_GWAS2_TOTAL","SNP_RP_GWAS2_PERC","h2_1","h2_1_se","h2_2","h2_2_se","gcov","gcov_se","rg","se","p","output_file","output_file_path","id_1","label_1","id_2","label_2"
0,0,972817,1029876,907187,1029876,0.032,0.0079,0.0592,0.005,0.0203,0.003,0.4668,0.0852,4.24e-08,"GCST004744_adenocarcinoma-lung_GCST90137412_squamous-carcinoma.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST004744_adenocarcinoma-lung_GCST90137412_squamous-carcinoma.Rout","GCST004744","adenocarcinoma-lung","GCST90137412","squamous-carcinoma"
0,0,1029867,1029876,971756,1029876,0.0043,9e-04,0.0227,0.0083,0.0044,0.0019,0.4506,0.224,0.0442,"GCST90042685_intestinal-cancer-mother_GCST004750_lung-cancer-squamous.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042685_intestinal-cancer-mother_GCST004750_lung-cancer-squamous.Rout","GCST90042685","intestinal-cancer-mother","GCST004750","lung-cancer-squamous"
0,336,1008231,1029876,836400,1029876,0.0366,0.0143,0.1216,0.0106,0.0167,0.0051,0.25,0.1024,0.0147,"GCST002245_alzheimers-late-onset-4_GCST90271613_partial-epilepsy-1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST002245_alzheimers-late-onset-4_GCST90271613_partial-epilepsy-1.Rout","GCST002245","alzheimers-late-onset-4","GCST90271613","partial-epilepsy-1"
0,0,1029738,1029876,972817,1029876,0.0058,0.001,0.032,0.0079,0.0032,0.0019,0.2304,0.1454,0.113,"GCST90435919_headache-disorder-1_GCST004744_adenocarcinoma-lung.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90435919_headache-disorder-1_GCST004744_adenocarcinoma-lung.Rout","GCST90435919","headache-disorder-1","GCST004744","adenocarcinoma-lung"
0,0,1029721,1029876,1016163,1029876,0.3665,0.0092,0.0201,0.0021,0.0021,0.0022,0.0242,0.0252,0.337,"GCST90128471-all_SCZ-PGC-2022-all_GCST90239856_uterine-leiomyoma-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90128471-all_SCZ-PGC-2022-all_GCST90239856_uterine-leiomyoma-2.Rout","GCST90128471-all","SCZ-PGC-2022-all","GCST90239856","uterine-leiomyoma-2"
0,0,1029876,1029876,1029867,1029876,0.0171,0.0013,0.0182,0.0015,-5e-04,7e-04,-0.0261,0.0385,0.498,"GCST90012878_alzheimers-disease-family-his","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90012878_alzheimers-disease-family-history_GCST90041830_non-epithelial-carcinoma.Rout","GCST90012878","alzheimers-disease-family-history","GCST90041830","non-epithelial-carcinoma"
0,0,1029867,1029876,1029721,1029876,0.0073,0.001,0.3665,0.0092,0.0284,0.002,0.5508,0.0576,1.19e-21,"GCST90042669_depression-family-father_GCST90128471-all_SCZ-PGC-2022-all.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042669_depression-family-father_GCST90128471-all_SCZ-PGC-2022-all.Rout","GCST90042669","depression-family-father","GCST90128471-all","SCZ-PGC-2022-all"
0,1967,1008231,1029876,1027488,1029876,0.0366,0.0143,0.0052,0.0012,-0.0014,0.0018,-0.1008,0.1317,0.444,"GCST002245_alzheimers-late-onset-4_GCST90011809_melanoma-1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST002245_alzheimers-late-onset-4_GCST90011809_melanoma-1.Rout","GCST002245","alzheimers-late-onset-4","GCST90011809","melanoma-1"
0,321,1027244,1029876,797259,1029876,0.0103,9e-04,0.1186,0.0084,0.0014,0.0018,0.0415,0.0514,0.42,"GCST90225528_anxiety-any_GCST90271619_partial-epilepsy-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90225528_anxiety-any_GCST90271619_partial-epilepsy-2.Rout","GCST90225528","anxiety-any","GCST90271619","partial-epilepsy-2"
0,0,1019367,1029876,1029099,1029876,0.1337,0.0122,0.1203,0.0074,0.076,0.005,0.5992,0.0548,8.26e-28,"GCST010514_autism-2_GCST90275153_mdd-age-sex-M1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST010514_autism-2_GCST90275153_mdd-age-sex-M1.Rout","GCST010514","autism-2","GCST90275153","mdd-age-sex-M1"
0,0,1029099,1029876,1027982,1029876,0.368,0.0101,0.0763,0.0045,0.0692,0.0034,0.4127,0.0221,9.34e-78,"GCST90275149_ADHD-1_GCST010010_mdd-lifetime-recurrent.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90275149_ADHD-1_GCST010010_mdd-lifetime-recurrent.Rout","GCST90275149","ADHD-1","GCST010010","mdd-lifetime-recurrent"
911853,0,24750,1029876,1029867,1029876,1,0,0.0109,0.0015,-4.23e-08,1.78e-06,-4.05e-07,1.67e-05,0.981,"GCST001241_BIP-PGC-2011_GCST90041833_breast-neoplasm-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST001241_BIP-PGC-2011_GCST90041833_breast-neoplasm-2.Rout","GCST001241","BIP-PGC-2011","GCST90041833","breast-neoplasm-2"
0,0,1029767,1029876,907187,1029876,0.049,0.0119,0.0437,0.006,-0.001,0.0021,-0.0214,0.0444,0.63,"GCST007511_alzheimers-late-onset-1_GCST90137411_bcc-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST007511_alzheimers-late-onset-1_GCST90137411_bcc-2.Rout","GCST007511","alzheimers-late-onset-1","GCST90137411","bcc-2"
0,0,1029867,1029876,1029867,1029876,0.0051,0.0011,0.0063,0.0017,-0.0012,9e-04,-0.2105,0.156,0.177,"GCST90042698_lung-cancer-family-sibling_GCST90044453_uterine-polyp-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042698_lung-cancer-family-sibling_GCST90044453_uterine-polyp-2.Rout","GCST90042698","lung-cancer-family-sibling","GCST90044453","uterine-polyp-2"
0,0,1029738,1029876,1029867,1029876,0.0096,0.0011,0.0085,0.001,-4e-04,7e-04,-0.0438,0.0732,0.55,"GCST90435864_anxiety-4_GCST90042686_breast-cancer-family-mother.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90435864_anxiety-4_GCST90042686_breast-cancer-family-mother.Rout","GCST90435864","anxiety-4","GCST90042686","breast-cancer-family-mother"
280,0,835841,1029876,1029867,1029876,0.1448,0.0096,0.0071,0.0021,-0.0022,0.0022,-0.0677,0.0679,0.319,"GCST90271611_epilepsy-2_GCST90044453_uterine-polyp-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90271611_epilepsy-2_GCST90044453_uterine-polyp-2.Rout","GCST90271611","epilepsy-2","GCST90044453","uterine-polyp-2"
0,0,1019367,1029876,1023434,1029876,0.1337,0.0122,0.1036,0.0085,-0.0055,0.0043,-0.0464,0.0366,0.205,"GCST010514_autism-2_GCST90255675_crc-cancer-1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST010514_autism-2_GCST90255675_crc-cancer-1.Rout","GCST010514","autism-2","GCST90255675","crc-cancer-1"
0,0,1029738,1029876,1029099,1029876,0.0101,0.001,0.1998,0.006,0.0236,0.0017,0.5271,0.0429,1.13e-34,"GCST90435863_anxiety-3_GCST90275155_mdd-5.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90435863_anxiety-3_GCST90275155_mdd-5.Rout","GCST90435863","anxiety-3","GCST90275155","mdd-5"
0,0,1027244,1029876,1029721,1029876,0.0469,0.0021,0.3944,0.0123,0.0023,0.0027,0.0169,0.0198,0.394,"GCST90129443_headache-disorder-2_GCST90128471-male_SCZ-PGC-2022-males.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90129443_headache-disorder-2_GCST90128471-male_SCZ-PGC-2022-males.Rout","GCST90129443","headache-disorder-2","GCST90128471-male","SCZ-PGC-2022-males"
0,336,1025614,1029876,836400,1029876,0.0606,0.0082,0.1216,0.0106,0.0158,0.0058,0.1839,0.0737,0.0125,"GCST006465_endometrial-carcinoma-1_GCST90271613_partial-epilepsy-1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST006465_endometrial-carcinoma-1_GCST90271613_partial-epilepsy-1.Rout","GCST006465","endometrial-carcinoma-1","GCST90271613","partial-epilepsy-1"
0,0,1029867,1029876,1029867,1029876,0.0239,0.006,0.0086,0.0014,0.0011,0.0024,0.0799,0.1713,0.641,"GCST90042778_anxiety-1_GCST90042872_uterine-fibroid-leiomyoma.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042778_anxiety-1_GCST90042872_uterine-fibroid-leiomyoma.Rout","GCST90042778","anxiety-1","GCST90042872","uterine-fibroid-leiomyoma"
0,0,1029770,1029876,1029099,1029876,0.0126,9e-04,0.2428,0.0087,0.0063,0.0017,0.1148,0.0307,0.00018,"GCST90320057_renal-carcinoma_GCST90275158_schizophrenia-M1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90320057_renal-carcinoma_GCST90275158_schizophrenia-M1.Rout","GCST90320057","renal-carcinoma","GCST90275158","schizophrenia-M1"
0,0,1029867,1029876,1029867,1029876,0.0311,0.0022,0.0085,0.001,4.65e-05,0.001,0.0029,0.059,0.961,"GCST90042843_anxiety-treatment-1_GCST90042686_breast-cancer-family-mother.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042843_anxiety-treatment-1_GCST90042686_breast-cancer-family-mother.Rout","GCST90042843","anxiety-treatment-1","GCST90042686","breast-cancer-family-mother"
0,0,1029099,1029876,834663,1029876,0.178,0.0101,0,0,-8e-04,0.001,-Inf,NA,NA,"GCST90275151_autism-sex-M1_GCST90399736_thyroid-cancer.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90275151_autism-sex-M1_GCST90399736_thyroid-cancer.Rout","GCST90275151","autism-sex-M1","GCST90399736","thyroid-cancer"
0,0,1029867,1029876,1025331,1029876,0.0045,0.0012,0.0162,0.0023,0.0041,9e-04,0.4812,0.1297,0.000207,"GCST90042698_lung-cancer-family-sibling_GCST009315_PTSD-PGC-2019.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042698_lung-cancer-family-sibling_GCST009315_PTSD-PGC-2019.Rout","GCST90042698","lung-cancer-family-sibling","GCST009315","PTSD-PGC-2019"
0,0,1027244,1029876,1016163,1029876,0.0102,9e-04,0.0201,0.0021,6e-04,7e-04,0.0396,0.048,0.409,"GCST90225527_anxiety-2_GCST90239856_uterine-leiomyoma-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90225527_anxiety-2_GCST90239856_uterine-leiomyoma-2.Rout","GCST90225527","anxiety-2","GCST90239856","uterine-leiomyoma-2"
0,0,1029738,1029876,834663,1029876,0.0447,0.0097,0,0,-3e-04,8e-04,-Inf,NA,NA,"GCST009981_mdd-notrauma_GCST90399736_thyroid-cancer.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST009981_mdd-notrauma_GCST90399736_thyroid-cancer.Rout","GCST009981","mdd-notrauma","GCST90399736","thyroid-cancer"
0,0,1027982,1029876,1009763,1029876,0.076,0.0052,1,0,0.1072,0.0052,0.3888,0.0231,1.93e-63,"GCST010009_mdd-lifetime-1_GCST006803_SCZ-PGC-2018.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST010009_mdd-lifetime-1_GCST006803_SCZ-PGC-2018.Rout","GCST010009","mdd-lifetime-1","GCST006803","SCZ-PGC-2018"
0,321,1029867,1029876,797259,1029876,0.0107,0.0016,0.1186,0.0084,-0.0012,0.0021,-0.0334,0.0606,0.582,"GCST90041833_breast-neoplasm-2_GCST90271619_partial-epilepsy-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90041833_breast-neoplasm-2_GCST90271619_partial-epilepsy-2.Rout","GCST90041833","breast-neoplasm-2","GCST90271619","partial-epilepsy-2"
0,304,1008231,1029876,836495,1029876,0.0366,0.0143,0.2967,0.0142,-0.0044,0.0053,-0.0421,0.0503,0.403,"GCST002245_alzheimers-late-onset-4_GCST90271612_generalised-epilepsy.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST002245_alzheimers-late-onset-4_GCST90271612_generalised-epilepsy.Rout","GCST002245","alzheimers-late-onset-4","GCST90271612","generalised-epilepsy"
0,0,1029867,1029876,1009763,1029876,0.0085,0.001,1,0,0.0022,0.0027,0.0242,0.029,0.403,"GCST90042670_prostate-cancer-father_GCST006803_SCZ-PGC-2018.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042670_prostate-cancer-father_GCST006803_SCZ-PGC-2018.Rout","GCST90042670","prostate-cancer-father","GCST006803","SCZ-PGC-2018"
