File	initial_RP	regr_weight	merg_RP	merge_regr	sumstats	merge_sumstats	valid_alleles_SNP
SCZ_GCST90275146_BreastCancer_GCST90041886.log	1190321	1190321	1167672	1167672	1217311	1167672	1147183
ASD_GCST90275140_ASD_iPSYCH-PGC_ASD_Nov2017.log	1190321	1190321	1167670	1167670	1217311	1167670	1044141
ASD_GCST90275140_DEP_GCST90275155.log	1190321	1190321	1167670	1167670	1217311	1167670	1167437
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ASD_GCST90275140.log	1190321	1190321	1103624	1103624	1217311	1103624	1103357
BIP_bip2019_daner_ANX_GCST90225528.log	1190321	1190321	1091498	1091498	1217311	1091498	1058102
SCZ_GCST90275146_LungCancer_GCST004748.log	1190321	1190321	1167672	1167672	1217311	1167672	1101903
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ANX_GCST90225527.log	1190321	1190321	1103624	1103624	1217311	1103624	1070443
BIP_daner_bip_pgc3_nm_noukbiobank_DEP_GCST90275155.log	1190321	1190321	1106924	1106924	1217311	1106924	1105608
ANX_GCST90225529_LungCancer_GCST004748.log	1190321	1190321	1124418	1124418	1217311	1124418	1061162
ASD_GCST90275140_LungCancer_GCST004748.log	1190321	1190321	1167670	1167670	1217311	1167670	1101918
BIP_bip2019_daner_SCZ_GCST90275146.log	1190321	1190321	1091498	1091498	1217311	1091498	1083245
ASD_GCST90275152_BIP_daner_bip_pgc3_nm_noukbiobank.log	1190321	1190321	1167670	1167670	1217311	1167670	1105611
BIP_bip2019_daner_BIP_daner_bip_pgc3_nm_noukbiobank.log	1190321	1190321	1091498	1091498	1217311	1091498	1069916
ASD_GCST90275140_ASD_GCST010514.log	1190321	1190321	1167670	1167670	1217311	1167670	1138709
ASD_GCST010514_DEP_GCST90275155.log	1190321	1190321	1139907	1139907	1217311	1139907	1138673
ADHD_GCST90275137_BIP_bip2019_daner.log	1190321	1190321	1167668	1167668	1217311	1167668	1083240
ASD_GCST90275152_ANX_GCST90225528.log	1190321	1190321	1167670	1167670	1217311	1167670	1120286
ANX_GCST90225527_SCZ_scz2018clozuk.log	1190321	1190321	1124418	1124418	1217311	1124418	1103309
ADHD_GCST90275137_ASD_GCST010514.log	1190321	1190321	1167668	1167668	1217311	1167668	1138684
ADHD_ADHD2022_iPSYCH_deCODE_PGC_SCZ_GCST90275158.log	1190321	1190321	1103624	1103624	1217311	1103624	1103363
SCZ_GCST90275146_DEP_GCST90275143.log	1190321	1190321	1167672	1167672	1217311	1167672	1167471
BIP_daner_bip_pgc3_nm_noukbiobank_SCZ_scz2018clozuk.log	1190321	1190321	1106924	1106924	1217311	1106924	1089515
ADHD_GCST90275149_SCZ_GCST90275146.log	1190321	1190321	1167668	1167668	1217311	1167668	1167466
BIP_daner_bip_pgc3_nm_noukbiobank_SCZ_GCST90275158.log	1190321	1190321	1106924	1106924	1217311	1106924	1105602
ASD_GCST010514_LungCancer_GCST004748.log	1190321	1190321	1139907	1139907	1217311	1139907	1076835
ADHD_GCST90275149_BIP_daner_bip_pgc3_nm_noukbiobank.log	1190321	1190321	1167668	1167668	1217311	1167668	1105629
DEP_GCST90275143_BreastCancer_GCST90041886.log	1190321	1190321	1167676	1167676	1217311	1167676	1147182
ASD_GCST90275152_SCZ_GCST90275158.log	1190321	1190321	1167670	1167670	1217311	1167670	1167461
ASD_GCST010514_DEP_GCST90275143.log	1190321	1190321	1139907	1139907	1217311	1139907	1138673
ASD_GCST90275152_BreastCancer_GCST90041886.log	1190321	1190321	1167670	1167670	1217311	1167670	1147187
ADHD_ADHD2022_iPSYCH_deCODE_PGC_ANX_GCST90225528.log	1190321	1190321	1103624	1103624	1217311	1103624	1070443
ASD_GCST010514_SCZ_scz2018clozuk.log	1190321	1190321	1139907	1139907	1217311	1139907	1119944
ASD_GCST90275140_SCZ_GCST90275158.log	1190321	1190321	1167670	1167670	1217311	1167670	1167461
ADHD_GCST90275137_ADHD_ADHD2022_iPSYCH_deCODE_PGC.log	1190321	1190321	1167668	1167668	1217311	1167668	1103364
BIP_bip2019_daner_LungCancer_GCST004748.log	1190321	1190321	1091498	1091498	1217311	1091498	1027448
BIP_bip2019_daner_ANX_GCST90225529.log	1190321	1190321	1091498	1091498	1217311	1091498	1058102
