id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST90275158,schizophrenia-M1,GCST90013410,bcc-1,-0.013,0.0517,-0.2519,0.8011,0.0317,0.0044,1.062,0.0172,0.0004,0.0057
GCST90042698,lung-cancer-family-sibling,GCST90041853,prostate-cancer-5,0.0827,0.15,0.5509,0.5817,0.018,0.0029,1.03,0.0107,-0.0028,0.0045
GCST90137411,bcc-2,GCST90137411,bcc-2,1.0,2.2054e-06,453429.6142,0.0,0.0697,0.0121,0.9758,0.0235,0.9758,0.0235
GCST90011816,cervical-cancer-2,GCST90013410,bcc-1,0.0549,0.0829,0.6613,0.5084,0.0315,0.0044,1.062,0.0172,0.0363,0.0055
GCST90042843,anxiety-treatment-1,GCST90271619,partial-epilepsy-2,-0.1741,0.133,-1.3089,0.1906,0.0468,0.0111,1.0246,0.0085,0.0082,0.0071
GCST003740,adenocarcinoma-barret-oesophagus,GCST90137411,bcc-2,0.0679,0.0479,1.4178,0.1563,0.0697,0.0121,0.9758,0.0234,0.003,0.0061
GCST90042669,depression-family-father,GCST009979,mdd-1,0.7163,0.09,7.9571,1.7617e-15,0.078,0.0059,1.0182,0.0076,0.0465,0.0048
GCST90275150,autism-age-sex-M1,GCST90435919,headache-disorder-1,0.1165,0.0811,1.4357,0.1511,0.0067,0.0011,0.9999,0.0064,0.0006,0.0048
GCST90246358,cervical-cancer-1,GCST003566,multiple-sclerosis-1,-0.1821,0.1351,-1.3481,0.1776,0.3042,0.112,1.0646,0.0165,0.0106,0.0056
GCST006465,endometrial-carcinoma-1,GCST006465,endometrial-carcinoma-1,1.0,9.9536e-06,100464.2692,0.0,0.0348,0.0099,1.0747,0.0091,1.0747,0.0091
GCST002245,alzheimers-late-onset-4,GCST002245,alzheimers-late-onset-4,1.0,1.2350e-05,80976.3754,0.0,0.0532,0.0141,1.0548,0.0217,1.0548,0.0217
GCST90275152,autism-1,GCST003769,depression-symptoms,0.3689,0.0508,7.2557,3.9947e-13,0.0384,0.0033,1.0159,0.0072,0.0062,0.006
GCST90042784,depression-postpartum,GCST90275153,mdd-age-sex-M1,0.0527,0.1991,0.2648,0.7912,0.1088,0.0087,1.0223,0.0076,0.0068,0.0048
GCST90042844,anxiety-treatment-2,GCST006465,endometrial-carcinoma-1,0.2147,0.1617,1.3278,0.1842,0.0346,0.0098,1.0749,0.0091,-0.0055,0.0062
GCST90041833,breast-neoplasm-2,GCST90435667,uterine-leiomyoma,0.1033,0.1187,0.8706,0.384,0.0114,0.0024,1.0213,0.0076,0.0285,0.0052
GCST90041886,breast-carcinoma-2,GCST90042669,depression-family-father,0.057,0.1094,0.5206,0.6026,0.0069,0.0014,1.0111,0.0069,-0.0085,0.0049
