id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se,adjusted_p_by,adjusted_p_bh
GCST90042682,depression-family-mother,GCST90011808,prostate-cancer-3,-0.054,0.0842,-0.6406,0.5218,0.0332,0.0046,1.0536,0.0197,0.0092,0.0054,1.0,0.6911621550591328
GCST90011816,cervical-cancer-2,GCST90042670,prostate-cancer-father,-0.0502,0.1571,-0.3197,0.7492,0.0066,0.0013,1.0194,0.0085,0.0002,0.0051,1.0,0.8490744525547446
GCST004748,lung-carcinoma-1,GCST90042696,prostate-cancer-sibling,0.0305,0.186,0.164,0.8697,0.0013,0.0011,1.0049,0.0063,-0.002,0.0052,1.0,0.9245756457564576
GCST003769,depression-symptoms,GCST90043894,prostate-cancer-1,-0.0065,0.07,-0.0922,0.9265,0.0255,0.0037,1.0467,0.0156,0.005,0.0052,1.0,0.9618755784061697
GCST90255675,crc-cancer-1,GCST90275154,mdd-sex-M1,0.0844,0.0382,2.2088,0.0272,0.119,0.0093,1.027,0.0076,-0.0034,0.006,0.6191714179717219,0.07563475862068965
GCST90042684,lung-cancer-family-mother,GCST90043874,skin-carcinoma-face,0.081,0.1568,0.5168,0.6053,0.0083,0.0014,1.0232,0.0079,0.0071,0.0053,1.0,0.7495606879606879
GCST90275151,autism-sex-M1,GCST90041830,non-epithelial-carcinoma,0.0101,0.0679,0.1486,0.8819,0.017,0.0027,1.0274,0.0123,-0.0075,0.0062,1.0,0.9298694560669457
GCST004748,lung-carcinoma-1,GCST90275157,schizo-sex-M1,0.3023,0.0711,4.2512,2.1263e-05,0.1287,0.0123,1.0372,0.0081,-0.0003,0.0059,0.0008218199260178077,0.00010038924590163935
GCST90042841,anxiety-medication,GCST90042686,breast-cancer-family-mother,0.0551,0.0997,0.5524,0.5807,0.0063,0.0014,1.0264,0.0094,-4.7334e-05,0.0052,1.0,0.7321395872420263
GCST90042843,anxiety-treatment-1,GCST90043874,skin-carcinoma-face,-0.1093,0.0885,-1.235,0.2168,0.0083,0.0014,1.0233,0.008,-0.0025,0.0052,1.0,0.3923806797853309
