type,selection,title,pubmedId,efoTraits,disease,disease_subtype,label,condition_label,summaryStatistics,id,filename,Ancestry,ref_genome,snp,a1,a2,frq,FRQ_U,FRQ_A,z,b,OR,se,p,N_col,N_num,Nca_col,Nca_val,Nco_col,Nco_val,INFO,ignore
NEU,subtype-family,"Genome-wide meta-analysis, fine-mapping and integrative prioritization implicate new Alzheimer's disease risk genes.",33589840,alzheimer's disease,alzheimer's disease,family history,alzheimers-disease-family-history,ALZ,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012878/GCST90012878_buildGRCh37.tsv.gz,GCST90012878,GCST90012878.tsv.gz,European,,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,408942,,53042.0,,355900.0,INFO,SNP_ID
NEU,main,"Genetic meta-analysis of diagnosed Alzheimer's disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing.",30820047,late-onset Alzheimers disease,alzheimer's disease,,alzheimers-late-onset-1,ALZ,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007511/Kunkle_etal_Stage1_results.txt,GCST007511,GCST007511.txt,European,,MarkerName,Effect_allele,Non_Effect_allele,,,,,Beta,,SE,Pvalue,,63926,,21982.0,,41944.0,,
NEU,minor,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",24162737,Alzheimer disease,alzheimer's disease,,alzheimers-late-onset-4,ALZ,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002245/IGAP_summary_statistics.zip,GCST002245,GCST002245.zip,European,,MarkerName,Effect_allele,Non_Effect_allele,,,,,Beta,,SE,Pvalue,,55134,,17008.0,,37154.0,,
NEU,main,Common and rare variant association analyses in amyotrophic lateral sclerosis identify 15 risk loci with distinct genetic architectures and neuron-specific biology.,34873335,amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,,lateral-sclerosis-1,SCLE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90027001-GCST90028000/GCST90027164/GCST90027164_buildGRCh37.tsv.gz,GCST90027164,GCST90027164.tsv.gz,European,,rsid,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,138086,,27205.0,,110881.0,,
NEU,minor,Genome-wide association analyses identify new risk variants and the genetic architecture of amyotrophic lateral sclerosis.,27455348,amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,,lateral-sclerosis-2,SCLE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004692/harmonised/27455348-GCST004692-EFO_0000253-build37.f.tsv.gz,GCST004692,GCST004692.tsv.gz,European,,variant_id,effect_allele,other_allele,freq,,,,beta,,standard_error,p_value,,36052,,12577.0,controls,23475.0,,
PSY,main,Genome-wide Association Study Identifies Eight Risk Loci and Implicates Metabo-Psychiatric Origins for Anorexia Nervosa,31308545,anorexia nervosa,anorexia nervosa,anorexia nervosa,ANN-PGC-2019,TCA,https://figshare.com/ndownloader/files/28169271,GCST008465,GCST008465.vcf.tsv,European,,ID,ALT,REF,,,,,BETA,,SE,PVAL,,72517,NCAS,16992.0,NCON,55525.0,IMPINFO,
PSY,main,Testing associations between human anxiety and genes previously implicated by mouse anxiety models.,37259642,anxiety disorder,anxiety,,anxiety-2,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90225001-GCST90226000/GCST90225527/GCST90225527_buildGRCh37.tsv,GCST90225527,GCST90225527.tsv, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,None,502477,,16079.0,,486398.0,,
PSY,minor,Testing associations between human anxiety and genes previously implicated by mouse anxiety models.,37259642,anxiety disorder,anxiety,,anxiety-any,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90225001-GCST90226000/GCST90225528/GCST90225528_buildGRCh37.tsv,GCST90225528,GCST90225528.tsv, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,502474,,21606.0,,480868.0,,
PSY,minor,Testing associations between human anxiety and genes previously implicated by mouse anxiety models.,37259642,anxiety disorder,anxiety,,anxiety-others,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90225001-GCST90226000/GCST90225529/GCST90225529_buildGRCh37.tsv,GCST90225529,GCST90225529.tsv, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,502468,,19596.0,,482872.0,,
PSY,minor,A generalized linear mixed model association tool for biobank-scale data.,34737426,anxiety,anxiety,,anxiety-1,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042778/GCST90042778_buildGRCh37.tsv.gz,GCST90042778,GCST90042778.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,45569,,27846.0,,17723.0,,
